supergroup,subgroup,Pxx,Pxy,Pxz,Pyx,Pyy,Pyz,Pzx,Pzy,Pzz,px,py,pz
137,114,1,0,0,0,1,0,0,0,1,1/4,3/4,1/4
137,115,1,0,0,0,1,0,0,0,1,1/4,3/4,1/4
138,56,1,0,0,0,1,0,0,0,1,0,0,0
138,67,1,1,0,-1,1,0,0,0,1,0,0,0
138,86,1,0,0,0,1,0,0,0,1,0,1/2,0
138,94,1,0,0,0,1,0,0,0,1,1/4,3/4,0
138,101,1,0,0,0,1,0,0,0,1,1/4,1/4,0
138,113,1,0,0,0,1,0,0,0,1,1/4,3/4,1/4
138,116,1,0,0,0,1,0,0,0,1,1/4,3/4,1/4
139,69,1,1,0,-1,1,0,0,0,1,0,0,0
139,71,1,0,0,0,1,0,0,0,1,0,0,0
139,87,1,0,0,0,1,0,0,0,1,0,0,0
139,97,1,0,0,0,1,0,0,0,1,0,0,0
139,107,1,0,0,0,1,0,0,0,1,0,0,0
139,119,1,0,0,0,1,0,0,0,1,0,0,0
139,121,1,0,0,0,1,0,0,0,1,0,0,0
140,69,1,1,0,-1,1,0,0,0,1,0,1/2,0
140,72,1,0,0,0,1,0,0,0,1,0,0,0
140,87,1,0,0,0,1,0,0,0,1,0,0,0
140,97,1,0,0,0,1,0,0,0,1,0,0,1/4
140,108,1,0,0,0,1,0,0,0,1,0,0,0
140,120,1,0,0,0,1,0,0,0,1,0,0,0
140,121,1,0,0,0,1,0,0,0,1,0,1/2,1/4
141,70,1,1,0,-1,1,0,0,0,1,1/4,3/4,1/4
141,74,1,0,0,0,1,0,0,0,1,0,0,0
141,88,1,0,0,0,1,0,0,0,1,0,1/2,0
141,98,1,0,0,0,1,0,0,0,1,0,1/4,3/8
141,109,1,0,0,0,1,0,0,0,1,0,1/4,0
141,119,1,0,0,0,1,0,0,0,1,0,1/4,3/8
141,122,1,0,0,0,1,0,0,0,1,0,1/4,3/8
142,70,1,1,0,-1,1,0,0,0,1,1/4,1/4,1/4
142,73,1,0,0,0,1,0,0,0,1,0,0,0
142,88,1,0,0,0,1,0,0,0,1,0,1/2,0
142,98,1,0,0,0,1,0,0,0,1,0,1/4,1/8
142,110,1,0,0,0,1,0,0,0,1,0,1/4,0
142,120,1,0,0,0,1,0,0,0,1,0,1/4,3/8
142,122,1,0,0,0,1,0,0,0,1,0,3/4,1/8
143,1,1,0,0,0,1,0,0,0,1,0,0,0
144,1,1,0,0,0,1,0,0,0,1,0,0,0
145,1,1,0,0,0,1,0,0,0,1,0,0,0
146,1,1,0,-1/3,0,1,-2/3,0,0,1/3,0,0,0
147,2,1,0,0,0,1,0,0,0,1,0,0,0
147,143,1,0,0,0,1,0,0,0,1,0,0,0
148,2,1,0,-1/3,0,1,-2/3,0,0,1/3,0,0,0
148,146,1,0,0,0,1,0,0,0,1,0,0,0
149,5,-1,1,0,-1,-1,0,0,0,1,0,0,0
149,143,1,0,0,0,1,0,0,0,1,0,0,0
150,5,-1,-1,0,1,-1,0,0,0,1,0,0,0
150,143,1,0,0,0,1,0,0,0,1,0,0,0
151,5,0,-2,0,1,-1,0,0,0,1,0,0,0
151,144,1,0,0,0,1,0,0,0,1,0,0,0
152,5,-1,-1,0,1,-1,0,0,0,1,0,0,0
152,144,1,0,0,0,1,0,0,0,1,0,0,0
153,5,0,-2,0,1,-1,0,0,0,1,0,0,0
153,145,1,0,0,0,1,0,0,0,1,0,0,0
154,5,-1,-1,0,1,-1,0,0,0,1,0,0,0
154,145,1,0,0,0,1,0,0,0,1,0,0,0
155,5,-1/3,-1,0,1/3,-1,0,-2/3,0,1,0,0,0
155,146,1,0,0,0,1,0,0,0,1,0,0,0
156,8,-1,-1,0,1,-1,0,0,0,1,0,0,0
156,143,1,0,0,0,1,0,0,0,1,0,0,0
157,8,-1,1,0,-1,-1,0,0,0,1,0,0,0
157,143,1,0,0,0,1,0,0,0,1,0,0,0
158,9,-1,-1,0,1,-1,0,0,0,1,0,0,0
158,143,1,0,0,0,1,0,0,0,1,0,0,0
159,9,-1,1,0,-1,-1,0,0,0,1,0,0,0
159,143,1,0,0,0,1,0,0,0,1,0,0,0
160,8,-1/3,-1,0,1/3,-1,0,-2/3,0,1,0,0,0
160,146,1,0,0,0,1,0,0,0,1,0,0,0
161,9,-1/3,-1,0,1/3,-1,0,-2/3,0,1,0,0,0
161,146,1,0,0,0,1,0,0,0,1,0,0,0
162,12,-1,1,0,-1,-1,0,0,0,1,0,0,0
162,147,1,0,0,0,1,0,0,0,1,0,0,0
162,149,1,0,0,0,1,0,0,0,1,0,0,0
162,157,1,0,0,0,1,0,0,0,1,0,0,0
163,15,-1,1,0,-1,-1,0,0,0,1,0,0,0
163,147,1,0,0,0,1,0,0,0,1,0,0,0
163,149,1,0,0,0,1,0,0,0,1,0,0,1/4
163,159,1,0,0,0,1,0,0,0,1,0,0,0
164,12,-1,-1,0,1,-1,0,0,0,1,0,0,0
164,147,1,0,0,0,1,0,0,0,1,0,0,0
164,150,1,0,0,0,1,0,0,0,1,0,0,0
164,156,1,0,0,0,1,0,0,0,1,0,0,0
165,15,-1,-1,0,1,-1,0,0,0,1,0,0,0
165,147,1,0,0,0,1,0,0,0,1,0,0,0
165,150,1,0,0,0,1,0,0,0,1,0,0,1/4
165,158,1,0,0,0,1,0,0,0,1,0,0,0
166,12,-1/3,-1,0,1/3,-1,0,-2/3,0,1,0,0,0
166,148,1,0,0,0,1,0,0,0,1,0,0,0
166,155,1,0,0,0,1,0,0,0,1,0,0,0
166,160,1,0,0,0,1,0,0,0,1,0,0,0
167,15,-1/3,-1,0,1/3,-1,0,-2/3,0,1,0,0,0
167,148,1,0,0,0,1,0,0,0,1,0,0,0
167,155,1,0,0,0,1,0,0,0,1,0,0,1/4
167,161,1,0,0,0,1,0,0,0,1,0,0,0
168,3,0,0,1,1,0,0,0,1,0,0,0,0
168,143,1,0,0,0,1,0,0,0,1,0,0,0
169,4,0,0,1,1,0,0,0,1,0,0,0,0
169,144,1,0,0,0,1,0,0,0,1,0,0,0
170,4,0,0,1,1,0,0,0,1,0,0,0,0
170,145,1,0,0,0,1,0,0,0,1,0,0,0
171,3,0,0,1,1,0,0,0,1,0,0,0,0
171,145,1,0,0,0,1,0,0,0,1,0,0,0
172,3,0,0,1,1,0,0,0,1,0,0,0,0
172,144,1,0,0,0,1,0,0,0,1,0,0,0
173,4,0,0,1,1,0,0,0,1,0,0,0,0
173,143,1,0,0,0,1,0,0,0,1,0,0,0
174,6,0,0,1,1,0,0,0,1,0,0,0,0
174,143,1,0,0,0,1,0,0,0,1,0,0,0
175,10,0,0,1,1,0,0,0,1,0,0,0,0
175,147,1,0,0,0,1,0,0,0,1,0,0,0
175,168,1,0,0,0,1,0,0,0,1,0,0,0
175,174,1,0,0,0,1,0,0,0,1,0,0,0
176,11,0,0,1,1,0,0,0,1,0,0,0,0
176,147,1,0,0,0,1,0,0,0,1,0,0,0
176,173,1,0,0,0,1,0,0,0,1,0,0,0
176,174,1,0,0,0,1,0,0,0,1,0,0,1/4
177,21,1,1,0,-1,1,0,0,0,1,0,0,0
177,149,1,0,0,0,1,0,0,0,1,0,0,0
177,150,1,0,0,0,1,0,0,0,1,0,0,0
177,168,1,0,0,0,1,0,0,0,1,0,0,0
178,20,-1,-1,0,1,-1,0,0,0,1,0,0,5/12
178,151,1,0,0,0,1,0,0,0,1,0,0,1/12
178,152,1,0,0,0,1,0,0,0,1,0,0,1/6
178,169,1,0,0,0,1,0,0,0,1,0,0,0
179,20,-1,-1,0,1,-1,0,0,0,1,0,0,1/12
179,153,1,0,0,0,1,0,0,0,1,0,0,5/12
179,154,1,0,0,0,1,0,0,0,1,0,0,1/3
179,170,1,0,0,0,1,0,0,0,1,0,0,0
180,21,-1,-1,0,1,-1,0,0,0,1,0,0,1/3
180,153,1,0,0,0,1,0,0,0,1,0,0,1/6
180,154,1,0,0,0,1,0,0,0,1,0,0,1/3
180,171,1,0,0,0,1,0,0,0,1,0,0,0
181,21,-1,-1,0,1,-1,0,0,0,1,0,0,2/3
181,151,1,0,0,0,1,0,0,0,1,0,0,1/3
181,152,1,0,0,0,1,0,0,0,1,0,0,1/6
181,172,1,0,0,0,1,0,0,0,1,0,0,0
182,20,-1,-1,0,1,-1,0,0,0,1,0,0,1/4
182,149,1,0,0,0,1,0,0,0,1,0,0,1/4
182,150,1,0,0,0,1,0,0,0,1,0,0,0
182,173,1,0,0,0,1,0,0,0,1,0,0,0
183,35,-1,-1,0,1,-1,0,0,0,1,0,0,0
183,156,1,0,0,0,1,0,0,0,1,0,0,0
183,157,1,0,0,0,1,0,0,0,1,0,0,0
183,168,1,0,0,0,1,0,0,0,1,0,0,0
184,37,-1,-1,0,1,-1,0,0,0,1,0,0,0
184,158,1,0,0,0,1,0,0,0,1,0,0,0
184,159,1,0,0,0,1,0,0,0,1,0,0,0
184,168,1,0,0,0,1,0,0,0,1,0,0,0
185,36,-1,-1,0,1,-1,0,0,0,1,0,0,0
185,157,1,0,0,0,1,0,0,0,1,0,0,0
185,158,1,0,0,0,1,0,0,0,1,0,0,0
185,173,1,0,0,0,1,0,0,0,1,0,0,0
186,36,-1,1,0,-1,-1,0,0,0,1,0,0,0
186,156,1,0,0,0,1,0,0,0,1,0,0,0
186,159,1,0,0,0,1,0,0,0,1,0,0,0
186,173,1,0,0,0,1,0,0,0,1,0,0,0
187,38,0,-1,1,0,-1,-1,1,0,0,0,0,0
187,149,1,0,0,0,1,0,0,0,1,0,0,0
187,156,1,0,0,0,1,0,0,0,1,0,0,0
187,174,1,0,0,0,1,0,0,0,1,0,0,0
188,40,0,-1,1,0,-1,-1,1,0,0,0,0,0
188,149,1,0,0,0,1,0,0,0,1,0,0,0
188,158,1,0,0,0,1,0,0,0,1,0,0,0
188,174,1,0,0,0,1,0,0,0,1,0,0,1/4
189,38,0,-1,-1,0,1,-1,1,0,0,0,0,0
189,150,1,0,0,0,1,0,0,0,1,0,0,0
189,157,1,0,0,0,1,0,0,0,1,0,0,0
189,174,1,0,0,0,1,0,0,0,1,0,0,0
190,40,0,-1,-1,0,1,-1,1,0,0,0,0,0
190,150,1,0,0,0,1,0,0,0,1,0,0,0
190,159,1,0,0,0,1,0,0,0,1,0,0,0
190,174,1,0,0,0,1,0,0,0,1,0,0,1/4
191,65,-1,-1,0,1,-1,0,0,0,1,0,0,0
191,162,1,0,0,0,1,0,0,0,1,0,0,0
191,164,1,0,0,0,1,0,0,0,1,0,0,0
191,175,1,0,0,0,1,0,0,0,1,0,0,0
191,177,1,0,0,0,1,0,0,0,1,0,0,0
191,183,1,0,0,0,1,0,0,0,1,0,0,0
191,187,1,0,0,0,1,0,0,0,1,0,0,0
191,189,1,0,0,0,1,0,0,0,1,0,0,0
192,66,-1,-1,0,1,-1,0,0,0,1,0,0,0
192,163,1,0,0,0,1,0,0,0,1,0,0,0
192,165,1,0,0,0,1,0,0,0,1,0,0,0
192,175,1,0,0,0,1,0,0,0,1,0,0,0
192,177,1,0,0,0,1,0,0,0,1,0,0,1/4
192,184,1,0,0,0,1,0,0,0,1,0,0,0
192,188,1,0,0,0,1,0,0,0,1,0,0,1/4
192,190,1,0,0,0,1,0,0,0,1,0,0,1/4
193,63,-1,-1,0,1,-1,0,0,0,1,0,0,0
193,162,1,0,0,0,1,0,0,0,1,0,0,0
193,165,1,0,0,0,1,0,0,0,1,0,0,0
193,176,1,0,0,0,1,0,0,0,1,0,0,0
193,182,1,0,0,0,1,0,0,0,1,0,0,1/4
193,185,1,0,0,0,1,0,0,0,1,0,0,0
193,188,1,0,0,0,1,0,0,0,1,0,0,0
193,189,1,0,0,0,1,0,0,0,1,0,0,1/4
194,63,-1,1,0,-1,-1,0,0,0,1,0,0,0
194,163,1,0,0,0,1,0,0,0,1,0,0,0
194,164,1,0,0,0,1,0,0,0,1,0,0,0
194,176,1,0,0,0,1,0,0,0,1,0,0,0
194,182,1,0,0,0,1,0,0,0,1,0,0,0
194,186,1,0,0,0,1,0,0,0,1,0,0,0
194,187,1,0,0,0,1,0,0,0,1,0,0,1/4
194,190,1,0,0,0,1,0,0,0,1,0,0,0
195,16,1,0,0,0,1,0,0,0,1,0,0,0
195,146,1,0,1,-1,1,1,0,-1,1,0,0,0
196,22,1,0,0,0,1,0,0,0,1,0,0,0
196,146,-1/2,0,1,1/2,-1/2,1,0,1/2,1,0,0,0
197,23,1,0,0,0,1,0,0,0,1,0,0,0
197,146,-1,0,1/2,1,-1,1/2,0,1,1/2,0,0,0
198,19,1,0,0,0,1,0,0,0,1,0,0,0
198,146,1,0,1,-1,1,1,0,-1,1,0,0,0
199,24,1,0,0,0,1,0,0,0,1,0,0,0
199,146,-1,0,1/2,1,-1,1/2,0,1,1/2,0,0,0
200,47,1,0,0,0,1,0,0,0,1,0,0,0
200,148,1,0,1,-1,1,1,0,-1,1,0,0,0
200,195,1,0,0,0,1,0,0,0,1,0,0,0
201,48,1,0,0,0,1,0,0,0,1,0,0,0
201,148,1,0,1,-1,1,1,0,-1,1,0,0,0
201,195,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
202,69,1,0,0,0,1,0,0,0,1,0,0,0
202,148,-1/2,0,1,1/2,-1/2,1,0,1/2,1,0,0,0
202,196,1,0,0,0,1,0,0,0,1,0,0,0
203,70,1,0,0,0,1,0,0,0,1,0,0,0
203,148,-1/2,0,1,1/2,-1/2,1,0,1/2,1,0,0,0
203,196,1,0,0,0,1,0,0,0,1,1/8,1/8,1/8
204,71,1,0,0,0,1,0,0,0,1,0,0,0
204,148,-1,0,1/2,1,-1,1/2,0,1,1/2,0,0,0
204,197,1,0,0,0,1,0,0,0,1,0,0,0
205,61,1,0,0,0,1,0,0,0,1,0,0,0
205,148,1,0,1,-1,1,1,0,-1,1,0,0,0
205,198,1,0,0,0,1,0,0,0,1,0,0,0
206,73,1,0,0,0,1,0,0,0,1,0,0,0
206,148,-1,0,1/2,1,-1,1/2,0,1,1/2,0,0,0
206,199,1,0,0,0,1,0,0,0,1,0,0,0
207,89,1,0,0,0,1,0,0,0,1,0,0,0
207,155,1,0,1,-1,1,1,0,-1,1,0,0,0
207,195,1,0,0,0,1,0,0,0,1,0,0,0
208,93,1,0,0,0,1,0,0,0,1,0,1/2,0
208,155,1,0,1,-1,1,1,0,-1,1,1/4,1/4,1/4
208,195,1,0,0,0,1,0,0,0,1,0,0,0
209,97,1/2,1/2,0,-1/2,1/2,0,0,0,1,0,0,0
209,155,-1/2,0,1,1/2,-1/2,1,0,1/2,1,0,0,0
209,196,1,0,0,0,1,0,0,0,1,0,0,0
210,98,1/2,1/2,0,-1/2,1/2,0,0,0,1,0,0,0
210,155,-1/2,0,1,1/2,-1/2,1,0,1/2,1,1/8,1/8,1/8
210,196,1,0,0,0,1,0,0,0,1,0,0,0
211,97,1,0,0,0,1,0,0,0,1,0,0,0
211,155,-1,0,1/2,1,-1,1/2,0,1,1/2,0,0,0
211,197,1,0,0,0,1,0,0,0,1,0,0,0
212,96,1,0,0,0,1,0,0,0,1,1/4,0,3/8
212,155,1,0,1,-1,1,1,0,-1,1,1/8,1/8,1/8
212,198,1,0,0,0,1,0,0,0,1,0,0,0
213,92,1,0,0,0,1,0,0,0,1,1/4,1/2,1/8
213,155,1,0,1,-1,1,1,0,-1,1,3/8,3/8,3/8
213,198,1,0,0,0,1,0,0,0,1,0,0,0
214,98,1,0,0,0,1,0,0,0,1,0,1/4,1/8
214,155,-1,0,1/2,1,-1,1/2,0,1,1/2,1/8,1/8,1/8
214,199,1,0,0,0,1,0,0,0,1,0,0,0
215,111,1,0,0,0,1,0,0,0,1,0,0,0
215,160,1,0,1,-1,1,1,0,-1,1,0,0,0
215,195,1,0,0,0,1,0,0,0,1,0,0,0
216,119,1/2,1/2,0,-1/2,1/2,0,0,0,1,0,0,0
216,160,-1/2,0,1,1/2,-1/2,1,0,1/2,1,0,0,0
216,196,1,0,0,0,1,0,0,0,1,0,0,0
217,121,1,0,0,0,1,0,0,0,1,0,0,0
217,160,-1,0,1/2,1,-1,1/2,0,1,1/2,0,0,0
217,197,1,0,0,0,1,0,0,0,1,0,0,0
218,112,1,0,0,0,1,0,0,0,1,0,1/2,1/4
218,161,1,0,1,-1,1,1,0,-1,1,0,0,0
218,195,1,0,0,0,1,0,0,0,1,0,0,0
219,120,1/2,1/2,0,-1/2,1/2,0,0,0,1,0,0,1/4
219,161,-1/2,0,1,1/2,-1/2,1,0,1/2,1,0,0,0
219,196,1,0,0,0,1,0,0,0,1,0,0,0
220,122,1,0,0,0,1,0,0,0,1,1/2,1/4,1/8
220,161,-1,0,1/2,1,-1,1/2,0,1,1/2,0,0,0
220,199,1,0,0,0,1,0,0,0,1,0,0,0
221,123,1,0,0,0,1,0,0,0,1,0,0,0
221,166,1,0,1,-1,1,1,0,-1,1,0,0,0
221,200,1,0,0,0,1,0,0,0,1,0,0,0
221,207,1,0,0,0,1,0,0,0,1,0,0,0
221,215,1,0,0,0,1,0,0,0,1,0,0,0
222,126,1,0,0,0,1,0,0,0,1,0,0,0
222,167,1,0,1,-1,1,1,0,-1,1,0,0,0
222,201,1,0,0,0,1,0,0,0,1,0,0,0
222,207,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
222,218,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
223,131,1,0,0,0,1,0,0,0,1,0,1/2,0
223,167,1,0,1,-1,1,1,0,-1,1,0,0,0
223,200,1,0,0,0,1,0,0,0,1,0,0,0
223,208,1,0,0,0,1,0,0,0,1,0,0,0
223,218,1,0,0,0,1,0,0,0,1,0,0,0
224,134,1,0,0,0,1,0,0,0,1,0,1/2,0
224,166,1,0,1,-1,1,1,0,-1,1,0,0,0
224,201,1,0,0,0,1,0,0,0,1,0,0,0
224,208,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
224,215,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
225,139,1/2,1/2,0,-1/2,1/2,0,0,0,1,0,0,0
225,166,-1/2,0,1,1/2,-1/2,1,0,1/2,1,0,0,0
225,202,1,0,0,0,1,0,0,0,1,0,0,0
225,209,1,0,0,0,1,0,0,0,1,0,0,0
225,216,1,0,0,0,1,0,0,0,1,0,0,0
226,140,1/2,1/2,0,-1/2,1/2,0,0,0,1,1/4,1/4,0
226,167,-1/2,0,1,1/2,-1/2,1,0,1/2,1,0,0,0
226,202,1,0,0,0,1,0,0,0,1,0,0,0
226,209,1,0,0,0,1,0,0,0,1,1/4,1/4,1/4
226,219,1,0,0,0,1,0,0,0,1,0,0,0
227,141,1/2,1/2,0,-1/2,1/2,0,0,0,1,1/4,1/4,0
227,166,-1/2,0,1,1/2,-1/2,1,0,1/2,1,0,0,0
227,203,1,0,0,0,1,0,0,0,1,0,0,0
227,210,1,0,0,0,1,0,0,0,1,3/8,3/8,3/8
227,216,1,0,0,0,1,0,0,0,1,1/8,1/8,1/8
228,142,1/2,1/2,0,-1/2,1/2,0,0,0,1,0,0,0
228,167,-1/2,0,1,1/2,-1/2,1,0,1/2,1,0,0,0
228,203,1,0,0,0,1,0,0,0,1,0,0,0
228,210,1,0,0,0,1,0,0,0,1,1/8,1/8,1/8
228,219,1,0,0,0,1,0,0,0,1,1/8,1/8,1/8
229,139,1,0,0,0,1,0,0,0,1,0,0,0
229,166,-1,0,1/2,1,-1,1/2,0,1,1/2,0,0,0
229,204,1,0,0,0,1,0,0,0,1,0,0,0
229,211,1,0,0,0,1,0,0,0,1,0,0,0
229,217,1,0,0,0,1,0,0,0,1,0,0,0
230,142,1,0,0,0,1,0,0,0,1,0,0,0
230,167,-1,0,1/2,1,-1,1/2,0,1,1/2,0,0,0
230,206,1,0,0,0,1,0,0,0,1,0,0,0
230,214,1,0,0,0,1,0,0,0,1,0,0,0
230,220,1,0,0,0,1,0,0,0,1,0,0,0
